sample_id,source_dataset,dataset_version,modality,sign_id,label_ar,label_en_if_available,label_index,signer_id,official_partition,repetition_id,source_relative_path,source_file_name,source_url,source_sha256,source_size_bytes,container,width,height,fps,frame_count,duration_seconds,skeleton_available
karsl_core28_s01_sign0038_test_rep006,KArSL,KArSL-502,RGB,0038,خ,kha,6,01,test,rep006,01/test/videos/0038/02_01_0038_(15_11_16_15_52_24)_c.mp4,02_01_0038_(15_11_16_15_52_24)_c.mp4,,4e00ce309b545f4324435571b6fada8efcb9d4fdb0eb958bc36d77ee76ec3c9f,211924,mp4,1920,1080,30.000000,15,0.500000,unknown
karsl_core28_s01_sign0039_test_rep007,KArSL,KArSL-502,RGB,0039,د,daal,7,01,test,rep007,01/test/videos/0039/02_01_0039_(17_11_16_17_30_50)_c.mp4,02_01_0039_(17_11_16_17_30_50)_c.mp4,,28e06f8cce577065c52011586d615c78d5ec021872af66d58333c43d8f77a175,514828,mp4,1920,1080,30.000000,21,0.700000,unknown
karsl_core28_s01_sign0042_test_rep003,KArSL,KArSL-502,RGB,0042,ز,zay,10,01,test,rep003,01/test/videos/0042/02_01_0042_(17_11_16_17_33_29)_c.mp4,02_01_0042_(17_11_16_17_33_29)_c.mp4,,4a4c9b9d6cfd966c3f1244c6a59f66ce7169882fbf1d0b59f1171507459007ff,459679,mp4,1920,1080,30.000000,21,0.700000,unknown
karsl_core28_s01_sign0045_test_rep001,KArSL,KArSL-502,RGB,0045,ص,Saad,13,01,test,rep001,01/test/videos/0045/02_01_0045_(15_11_16_16_03_44)_c.mp4,02_01_0045_(15_11_16_16_03_44)_c.mp4,,9f5bca71b4cc79aa67d3f310bf92f5537b72f9e38617391446fbc91f065ace34,1905697,mp4,1920,1080,30.000000,70,2.333333,unknown
karsl_core28_s01_sign0035_train_rep002,KArSL,KArSL-502,RGB,0035,ث,tha,3,01,train,rep002,01/train/videos/0035/02_01_0035_(15_11_16_15_46_15)_c.mp4,02_01_0035_(15_11_16_15_46_15)_c.mp4,,1fb26b24851248b651f7118ccf74c23028e17e15c275713aa39deb5ae1bd979b,176970,mp4,1920,1080,30.000000,14,0.466667,unknown
karsl_core28_s01_sign0036_train_rep038,KArSL,KArSL-502,RGB,0036,ج,Jiim,4,01,train,rep038,01/train/videos/0036/02_01_0036_(15_11_16_15_49_06)_c.mp4,02_01_0036_(15_11_16_15_49_06)_c.mp4,,4d8efa84e542bd8fecc2ec47e969515a0c3bf693d980eb4d19f6a40284248c24,501482,mp4,1920,1080,30.000000,21,0.700000,unknown
karsl_core28_s01_sign0037_train_rep004,KArSL,KArSL-502,RGB,0037,ح,Haa,5,01,train,rep004,01/train/videos/0037/02_01_0037_(14_11_16_17_42_11)_c.mp4,02_01_0037_(14_11_16_17_42_11)_c.mp4,,aa7a7ed3543aae4267b401133445391bfc49fb18285d5c54e8a9f012de4fdb9f,488158,mp4,1920,1080,30.000000,21,0.700000,unknown
karsl_core28_s01_sign0042_train_rep024,KArSL,KArSL-502,RGB,0042,ز,zay,10,01,train,rep024,01/train/videos/0042/02_01_0042_(17_11_16_17_33_11)_c.mp4,02_01_0042_(17_11_16_17_33_11)_c.mp4,,c91434bfba4e187154b04374fd9609691802721dad2bc565591059c41a2e386e,1198345,mp4,1920,1080,30.000000,41,1.366667,unknown
karsl_core28_s02_sign0032_test_rep005,KArSL,KArSL-502,RGB,0032,ا,alif,0,02,test,rep005,02/test/videos/0032/02_02_0032_(16_11_16_16_28_10)_c.mp4,02_02_0032_(16_11_16_16_28_10)_c.mp4,,fafed8787978cdaa9011260e6e857174d3fc1b11ed8647ac077e6421899be046,130962,mp4,1920,1080,30.000000,11,0.366667,unknown
karsl_core28_s02_sign0033_test_rep001,KArSL,KArSL-502,RGB,0033,ب,baa,1,02,test,rep001,02/test/videos/0033/02_02_0033_(15_11_16_17_44_02)_c.mp4,02_02_0033_(15_11_16_17_44_02)_c.mp4,,0090c382144798af7956d1e72486d8c2408957ed17f02a3562956208638efdbe,111794,mp4,1920,1080,30.000000,14,0.466667,unknown
karsl_core28_s02_sign0033_test_rep002,KArSL,KArSL-502,RGB,0033,ب,baa,1,02,test,rep002,02/test/videos/0033/02_02_0033_(15_11_16_17_44_04)_c.mp4,02_02_0033_(15_11_16_17_44_04)_c.mp4,,813ca271d55230b177c4e7e55fd3a4c45412208e74b59c3bf26c45ef788b6422,111666,mp4,1920,1080,30.000000,14,0.466667,unknown
karsl_core28_s02_sign0053_test_rep003,KArSL,KArSL-502,RGB,0053,ك,kaaf,21,02,test,rep003,02/test/videos/0053/02_02_0053_(15_11_16_18_07_54)_c.mp4,02_02_0053_(15_11_16_18_07_54)_c.mp4,,a580730e2351e444828ed039f42738bf5028aac3d538dd9ad754882a9421b51b,539580,mp4,1920,1080,30.000000,25,0.833333,unknown
karsl_core28_s02_sign0032_train_rep013,KArSL,KArSL-502,RGB,0032,ا,alif,0,02,train,rep013,02/train/videos/0032/02_02_0032_(15_11_16_17_43_28)_c.mp4,02_02_0032_(15_11_16_17_43_28)_c.mp4,,73560e7c0cc1d7bc0d5fcd396b06dd3b09340fff0a01ef53e0c28c489c740f17,166119,mp4,1920,1080,30.000000,10,0.333333,unknown
karsl_core28_s02_sign0058_train_rep008,KArSL,KArSL-502,RGB,0058,و,waaw,26,02,train,rep008,02/train/videos/0058/02_02_0058_(15_11_16_18_13_05)_c.mp4,02_02_0058_(15_11_16_18_13_05)_c.mp4,,7f0a2349a10592964fddc423332886b9b1a902467e3a62b0434a21b46af16cdb,71578,mp4,1920,1080,30.000000,13,0.433333,unknown
karsl_core28_s02_sign0058_train_rep019,KArSL,KArSL-502,RGB,0058,و,waaw,26,02,train,rep019,02/train/videos/0058/02_02_0058_(15_11_16_18_13_28)_c.mp4,02_02_0058_(15_11_16_18_13_28)_c.mp4,,0ae776a0f309c963e7c6176d1843b3108bbe9298345c48c6df62ebeb688a97fe,68006,mp4,1920,1080,30.000000,13,0.433333,unknown
