sample_id,source_dataset,source_dataset_version,modality,sign_id,arabic_label,english_label,signer_id,split,repetition_id,repetition_selection,source_url,source_archive_id,source_archive_member,source_archive_total_bytes,archive_prefix_bytes,local_relative_path,expected_fps,resolution,checksum_sha256
karsl_test_s01_sign0171_repfirst,KArSL-502,official KArSL-502,RGB,0171,يبني,build,01,test,lexicographically_first_valid_mp4,lexicographically first valid .mp4 member under sign directory,https://drive.google.com/file/d/1Iz3j0wlhuo1_j9WeCwGsN01L64TI_JYo/view?usp=sharing,1Iz3j0wlhuo1_j9WeCwGsN01L64TI_JYo,0171/03_01_0171_(17_04_17_18_51_29)_c.mp4,186368001,73400320,datasets/raw/karsl_milestone1_pilot/01/test/0171/03_01_0171_(17_04_17_18_51_29)_c.mp4,30.0,1920x1080,26b2d509efb9e8d8f974a1e2346dcf4dec7aacdf33dbdaa81d7b4db85e9c46d0
karsl_test_s01_sign0172_repfirst,KArSL-502,official KArSL-502,RGB,0172,يكسر,break,01,test,lexicographically_first_valid_mp4,lexicographically first valid .mp4 member under sign directory,https://drive.google.com/file/d/1Iz3j0wlhuo1_j9WeCwGsN01L64TI_JYo/view?usp=sharing,1Iz3j0wlhuo1_j9WeCwGsN01L64TI_JYo,0172/03_01_0172_(13_09_17_13_55_09)_c.mp4,186368001,73400320,datasets/raw/karsl_milestone1_pilot/01/test/0172/03_01_0172_(13_09_17_13_55_09)_c.mp4,30.0,1920x1080,e21a01ad5888a3e825f033e3de950fa1dffa34bf8de6daa9a170101a88ea873f
karsl_test_s01_sign0173_repfirst,KArSL-502,official KArSL-502,RGB,0173,يمشي,walk,01,test,lexicographically_first_valid_mp4,lexicographically first valid .mp4 member under sign directory,https://drive.google.com/file/d/1Iz3j0wlhuo1_j9WeCwGsN01L64TI_JYo/view?usp=sharing,1Iz3j0wlhuo1_j9WeCwGsN01L64TI_JYo,0173/03_01_0173_(13_09_17_13_58_08)_c.mp4,186368001,73400320,datasets/raw/karsl_milestone1_pilot/01/test/0173/03_01_0173_(13_09_17_13_58_08)_c.mp4,30.0,1920x1080,4652b76565baef64ed69263ae6427bdaf3fac9ff47b528b7c16cbdba32cbbceb
karsl_test_s01_sign0174_repfirst,KArSL-502,official KArSL-502,RGB,0174,يحب,love,01,test,lexicographically_first_valid_mp4,lexicographically first valid .mp4 member under sign directory,https://drive.google.com/file/d/1Iz3j0wlhuo1_j9WeCwGsN01L64TI_JYo/view?usp=sharing,1Iz3j0wlhuo1_j9WeCwGsN01L64TI_JYo,0174/03_01_0174_(13_09_17_14_01_16)_c.mp4,186368001,73400320,datasets/raw/karsl_milestone1_pilot/01/test/0174/03_01_0174_(13_09_17_14_01_16)_c.mp4,30.0,1920x1080,cf5bb522e1101ecabba6925a253d9365886a9fc16cef4602fd167acdc714b880
karsl_test_s01_sign0175_repfirst,KArSL-502,official KArSL-502,RGB,0175,يكره,hate,01,test,lexicographically_first_valid_mp4,lexicographically first valid .mp4 member under sign directory,https://drive.google.com/file/d/1Iz3j0wlhuo1_j9WeCwGsN01L64TI_JYo/view?usp=sharing,1Iz3j0wlhuo1_j9WeCwGsN01L64TI_JYo,0175/03_01_0175_(13_09_17_14_03_33)_c.mp4,186368001,73400320,datasets/raw/karsl_milestone1_pilot/01/test/0175/03_01_0175_(13_09_17_14_03_33)_c.mp4,30.0,1920x1080,5ce399dd579ea93aa5d016057eb9fa6a2c3f2d9b9276e99f8246f63d93f6f31a
karsl_test_s01_sign0176_repfirst,KArSL-502,official KArSL-502,RGB,0176,يشوي,grill,01,test,lexicographically_first_valid_mp4,lexicographically first valid .mp4 member under sign directory,https://drive.google.com/file/d/1Iz3j0wlhuo1_j9WeCwGsN01L64TI_JYo/view?usp=sharing,1Iz3j0wlhuo1_j9WeCwGsN01L64TI_JYo,0176/03_01_0176_(13_09_17_14_05_09)_c.mp4,186368001,73400320,datasets/raw/karsl_milestone1_pilot/01/test/0176/03_01_0176_(13_09_17_14_05_09)_c.mp4,30.0,1920x1080,e45d90c77f27f7889bfd25ddbe9e5dfd98022cfb67ed034e04745e8c56669ec8
karsl_test_s02_sign0171_repfirst,KArSL-502,official KArSL-502,RGB,0171,يبني,build,02,test,lexicographically_first_valid_mp4,lexicographically first valid .mp4 member under sign directory,https://drive.google.com/file/d/14GAOAMOdIhVzQHc0slooy5ZiRj0ZxrFH/view?usp=sharing,14GAOAMOdIhVzQHc0slooy5ZiRj0ZxrFH,0171/03_02_0171_(01_05_17_15_51_46)_c.mp4,178861322,73400320,datasets/raw/karsl_milestone1_pilot/02/test/0171/03_02_0171_(01_05_17_15_51_46)_c.mp4,30.0,1920x1080,1def091d7257a0647e726c46af31948f0110056649e9134b8b2a812c8d083b04
karsl_test_s02_sign0172_repfirst,KArSL-502,official KArSL-502,RGB,0172,يكسر,break,02,test,lexicographically_first_valid_mp4,lexicographically first valid .mp4 member under sign directory,https://drive.google.com/file/d/14GAOAMOdIhVzQHc0slooy5ZiRj0ZxrFH/view?usp=sharing,14GAOAMOdIhVzQHc0slooy5ZiRj0ZxrFH,0172/03_02_0172_(01_05_17_15_56_42)_c.mp4,178861322,73400320,datasets/raw/karsl_milestone1_pilot/02/test/0172/03_02_0172_(01_05_17_15_56_42)_c.mp4,30.0,1920x1080,24c0a025355960a8dda4b623e5fe345a7f82283ad73489b3e824a5bf9bfb105c
karsl_test_s02_sign0173_repfirst,KArSL-502,official KArSL-502,RGB,0173,يمشي,walk,02,test,lexicographically_first_valid_mp4,lexicographically first valid .mp4 member under sign directory,https://drive.google.com/file/d/14GAOAMOdIhVzQHc0slooy5ZiRj0ZxrFH/view?usp=sharing,14GAOAMOdIhVzQHc0slooy5ZiRj0ZxrFH,0173/03_02_0173_(01_05_17_15_59_20)_c.mp4,178861322,73400320,datasets/raw/karsl_milestone1_pilot/02/test/0173/03_02_0173_(01_05_17_15_59_20)_c.mp4,30.0,1920x1080,52a95d0203bebba71c8520860cfa70024f46ce50c4cda3b12dbec8c5977f5c39
karsl_test_s02_sign0174_repfirst,KArSL-502,official KArSL-502,RGB,0174,يحب,love,02,test,lexicographically_first_valid_mp4,lexicographically first valid .mp4 member under sign directory,https://drive.google.com/file/d/14GAOAMOdIhVzQHc0slooy5ZiRj0ZxrFH/view?usp=sharing,14GAOAMOdIhVzQHc0slooy5ZiRj0ZxrFH,0174/03_02_0174_(01_05_17_16_01_08)_c.mp4,178861322,73400320,datasets/raw/karsl_milestone1_pilot/02/test/0174/03_02_0174_(01_05_17_16_01_08)_c.mp4,30.0,1920x1080,a83deaae63c777c97ce65c91179049c5b6854d8fcd729d51f0065ce9d2b084e8
