sample_id,frame_index,left_visibility,left_x,left_y,right_visibility,right_x,right_y,scene_flags,annotator_confidence,notes
karsl_test_s01_sign0174_repfirst,0,VISIBLE,0.660,0.680,VISIBLE,0.380,0.690,,HIGH,Both physical hands are visible in the source RGB frame.
karsl_test_s01_sign0174_repfirst,1,VISIBLE,0.642,0.680,VISIBLE,0.398,0.690,,HIGH,Both physical hands are visible in the source RGB frame.
karsl_test_s01_sign0174_repfirst,2,VISIBLE,0.624,0.680,VISIBLE,0.416,0.690,,HIGH,Both physical hands are visible in the source RGB frame.
karsl_test_s01_sign0174_repfirst,3,VISIBLE,0.606,0.680,VISIBLE,0.434,0.690,,HIGH,Both physical hands are visible in the source RGB frame.
karsl_test_s01_sign0174_repfirst,4,VISIBLE,0.588,0.680,VISIBLE,0.452,0.690,,HIGH,Both physical hands are visible in the source RGB frame.
karsl_test_s01_sign0174_repfirst,5,VISIBLE,0.570,0.680,VISIBLE,0.470,0.690,,HIGH,Both physical hands are visible in the source RGB frame.
karsl_test_s01_sign0174_repfirst,6,VISIBLE,0.552,0.680,VISIBLE,0.488,0.690,,HIGH,Both physical hands are visible in the source RGB frame.
karsl_test_s01_sign0174_repfirst,7,VISIBLE,0.534,0.680,VISIBLE,0.506,0.690,,HIGH,Both physical hands are visible in the source RGB frame.
karsl_test_s01_sign0174_repfirst,8,VISIBLE,0.516,0.680,VISIBLE,0.524,0.690,MOTION_BLUR,HIGH,Both physical hands are visible in the source RGB frame.
karsl_test_s01_sign0174_repfirst,9,PARTIALLY_OCCLUDED,0.540,0.650,PARTIALLY_OCCLUDED,0.490,0.660,HAND_CROSSING;HAND_HAND_OCCLUSION;MOTION_BLUR,LOW,Hands converge over the chest; anatomical side is inferred from continuous forearms.
karsl_test_s01_sign0174_repfirst,10,PARTIALLY_OCCLUDED,0.540,0.650,PARTIALLY_OCCLUDED,0.490,0.660,HAND_CROSSING;HAND_HAND_OCCLUSION;MOTION_BLUR,LOW,Hands converge over the chest; anatomical side is inferred from continuous forearms.
karsl_test_s01_sign0174_repfirst,11,PARTIALLY_OCCLUDED,0.530,0.640,AMBIGUOUS,,,HAND_CROSSING;HAND_HAND_OCCLUSION;IDENTITY_AMBIGUOUS,LOW,The foreground hand is identifiable as subject LEFT; the covered hand boundary/identity is not fully supported by this RGB frame.
karsl_test_s01_sign0174_repfirst,12,PARTIALLY_OCCLUDED,0.530,0.640,AMBIGUOUS,,,HAND_CROSSING;HAND_HAND_OCCLUSION;IDENTITY_AMBIGUOUS,LOW,The foreground hand is identifiable as subject LEFT; the covered hand boundary/identity is not fully supported by this RGB frame.
karsl_test_s01_sign0174_repfirst,13,PARTIALLY_OCCLUDED,0.530,0.640,AMBIGUOUS,,,HAND_CROSSING;HAND_HAND_OCCLUSION;IDENTITY_AMBIGUOUS,LOW,The foreground hand is identifiable as subject LEFT; the covered hand boundary/identity is not fully supported by this RGB frame.
