config,feature_set,quaternion_policy_applied,pooling,fold,seed,test_accuracy,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,test_cross_entropy,test_samples,validation_accuracy,validation_macro_f1,best_validation_macro_f1,domain_gap_macro_f1,best_epoch,epochs_completed,stopped_early,wall_seconds,seconds_per_epoch,peak_gpu_mib,parameter_count,train_mean_length,test_mean_length
bend_only,bend_only,,masked_mean,01,1337,0.4942938659058488,0.45756143398414645,0.5587357783953594,0.49431318681318687,0.45782315182586036,2.976779326084422,1402,0.9776785714285714,0.9773068680204428,0.9773068680204428,0.5197454340362964,44,56,True,263.66754106699955,4.708348947624992,85.10302734375,496924,19.027403035413155,21.360199714693294
bend_only,bend_only,,masked_mean,02,1337,0.7266238401142041,0.7179510407882369,0.7708529211620668,0.726764705882353,0.7179264820894571,1.143543774489417,1401,0.9933035714285714,0.9932794151131986,0.9932794151131986,0.2753283743249617,57,60,False,274.983280904009,4.583054681733484,87.30126953125,496924,22.797302991993256,13.73661670235546
bend_only,bend_only,,masked_mean,03,1337,0.6617336152219874,0.6425294081771193,0.6986747163333195,0.6584521703418209,0.6449687424033117,1.9013323991010103,1419,0.9888392857142857,0.9889003805334451,0.9889003805334451,0.34637097235632575,39,51,True,226.34727031100192,4.4381817708039595,84.15771484375,496924,17.508704883227175,24.289640591966172
bend_spread,bend_spread,,masked_mean,01,1337,0.6005706134094151,0.5706875318417686,0.6088644925279325,0.6003846153846154,0.5709685435904633,2.396699231314591,1402,0.9866071428571429,0.9866399345662018,0.9866399345662018,0.41595240272443323,56,60,False,273.5359126510157,4.558931877516928,85.51025390625,509212,19.027403035413155,21.360199714693294
bend_spread,bend_spread,,masked_mean,02,1337,0.702355460385439,0.7063899833395465,0.7490144716613006,0.7025630252100841,0.7063021484715908,1.063205543349761,1401,0.9866071428571429,0.9865132673303926,0.9865132673303926,0.2801232839908461,30,42,True,189.9994640070072,4.5237967620715995,87.591796875,509212,22.797302991993256,13.73661670235546
bend_spread,bend_spread,,masked_mean,03,1337,0.5433403805496829,0.5224481077236531,0.6710761424465365,0.5411826384689215,0.5244016437453682,2.1998957650298863,1419,0.9910714285714286,0.9910627007401202,0.9910627007401202,0.468614593016467,33,45,True,198.53394634701544,4.411865474378121,84.29541015625,509212,17.508704883227175,24.289640591966172
full_absolute_masked_mean,full,absolute,masked_mean,01,1337,0.5677603423680456,0.5440637782984072,0.6280322394879531,0.5679945054945055,0.54409730724173,2.01076977481845,1402,0.984375,0.9840664711632454,0.9840664711632454,0.4400026928648382,28,40,True,192.22117579501355,4.805529394875339,85.9169921875,521500,19.027403035413155,21.360199714693294
full_absolute_masked_mean,full,absolute,masked_mean,02,1337,0.7416131334760885,0.7306537363564772,0.7815713401096553,0.7414425770308123,0.7308251996327451,0.8837337022505004,1401,0.9821428571428571,0.9820057495943869,0.9820057495943869,0.2513520132379097,20,32,True,146.94344920499134,4.591982787655979,87.8564453125,521500,22.797302991993256,13.73661670235546
full_absolute_masked_mean,full,absolute,masked_mean,03,1337,0.7195207892882312,0.7073180919152876,0.7494886313997858,0.717093995492934,0.709321035145904,1.2834943816842874,1419,0.9910714285714286,0.9910495576529732,0.9910495576529732,0.2837314657376856,27,39,True,173.52826961799292,4.449442810717767,84.654296875,521500,17.508704883227175,24.289640591966172
full_relative_masked_mean,full,relative_first_valid,masked_mean,01,1337,0.5820256776034237,0.5650329086328542,0.6244148361288987,0.582032967032967,0.5652580992999472,1.9117480361098145,1402,0.9821428571428571,0.9820446177004527,0.9820446177004527,0.41701170906759855,37,49,True,252.9784111219924,5.162824716775355,85.9169921875,521500,19.027403035413155,21.360199714693294
full_relative_masked_mean,full,relative_first_valid,masked_mean,02,1337,0.7073518915060671,0.7051954479027444,0.7581284983275298,0.7075630252100841,0.7051084656653644,1.0970776956860804,1401,0.9910714285714286,0.9911132194813409,0.9911132194813409,0.28591777157859655,51,60,False,303.4634436079941,5.057724060133236,87.86767578125,521500,22.797302991993256,13.73661670235546
full_relative_masked_mean,full,relative_first_valid,masked_mean,03,1337,0.5919661733615222,0.5713208960017137,0.65080398400848,0.5883799835723763,0.5749272168238719,2.21314773995428,1419,0.9933035714285714,0.99329702555509,0.99329702555509,0.4219761295533764,60,60,False,293.7913056380057,4.896521760633429,84.90234375,521500,17.508704883227175,24.289640591966172
full_absolute_final_hidden,full,absolute,final_hidden,01,1337,0.6326676176890157,0.5976270711700015,0.6348478225196196,0.6323076923076922,0.5978867486960772,2.087603670341652,1402,0.9933035714285714,0.9929803299618969,0.9929803299618969,0.3953532587918954,41,53,True,265.3651623179903,5.006889855056421,85.9169921875,521500,19.027403035413155,21.360199714693294
full_absolute_final_hidden,full,absolute,final_hidden,02,1337,0.5574589578872234,0.5464743793568428,0.6351533491138597,0.5571568627450981,0.5467513993853191,1.3733631314591457,1401,0.9375,0.9364188862255105,0.9364188862255105,0.38994450686866766,18,30,True,143.1368747589877,4.771229158632923,87.8564453125,521500,22.797302991993256,13.73661670235546
full_absolute_final_hidden,full,absolute,final_hidden,03,1337,0.7695560253699789,0.7546246897666498,0.7876671448187056,0.7687174869947979,0.7558881139236558,1.280066053388303,1419,0.9933035714285714,0.9933606873834577,0.9933606873834577,0.23873599761680797,49,60,False,254.67634616201394,4.244605769366899,84.90234375,521500,17.508704883227175,24.289640591966172
