character,sign_id,label_index,sample_id,signer_id,official_partition,repetition_id,sequence_length,selection_score,bend_valid_fraction,spread_valid_fraction,imu_valid_fraction,tracking_quality_fraction,geometry_available,pose_relative_path,tracking_relative_path,kinematics_relative_path,virtual_glove_relative_path
ا,0032,0,karsl_core28_s03_sign0032_train_rep019,03,train,rep019,25,1.0,1.0,1.0,1.0,1.0,True,pose/raw/karsl_core28_s03_sign0032_train_rep019/wilor_raw.npz,tracking/karsl_core28_s03_sign0032_train_rep019/wilor_tracked.npz,kinematics/karsl_core28_s03_sign0032_train_rep019/hand_kinematics.npz,virtual_glove/karsl_core28_s03_sign0032_train_rep019/virtual_glove.npz
ب,0033,1,karsl_core28_s01_sign0033_train_rep022,01,train,rep022,26,0.9772727272727273,1.0,1.0,1.0,1.0,True,pose/raw/karsl_core28_s01_sign0033_train_rep022/wilor_raw.npz,tracking/karsl_core28_s01_sign0033_train_rep022/wilor_tracked.npz,kinematics/karsl_core28_s01_sign0033_train_rep022/hand_kinematics.npz,virtual_glove/karsl_core28_s01_sign0033_train_rep022/virtual_glove.npz
ت,0034,2,karsl_core28_s01_sign0034_train_rep010,01,train,rep010,19,1.0,1.0,1.0,1.0,1.0,True,pose/raw/karsl_core28_s01_sign0034_train_rep010/wilor_raw.npz,tracking/karsl_core28_s01_sign0034_train_rep010/wilor_tracked.npz,kinematics/karsl_core28_s01_sign0034_train_rep010/hand_kinematics.npz,virtual_glove/karsl_core28_s01_sign0034_train_rep010/virtual_glove.npz
ث,0035,3,karsl_core28_s01_sign0035_train_rep019,01,train,rep019,19,1.0,1.0,1.0,1.0,1.0,True,pose/raw/karsl_core28_s01_sign0035_train_rep019/wilor_raw.npz,tracking/karsl_core28_s01_sign0035_train_rep019/wilor_tracked.npz,kinematics/karsl_core28_s01_sign0035_train_rep019/hand_kinematics.npz,virtual_glove/karsl_core28_s01_sign0035_train_rep019/virtual_glove.npz
ج,0036,4,karsl_core28_s01_sign0036_test_rep007,01,test,rep007,20,1.0,1.0,1.0,1.0,1.0,True,pose/raw/karsl_core28_s01_sign0036_test_rep007/wilor_raw.npz,tracking/karsl_core28_s01_sign0036_test_rep007/wilor_tracked.npz,kinematics/karsl_core28_s01_sign0036_test_rep007/hand_kinematics.npz,virtual_glove/karsl_core28_s01_sign0036_test_rep007/virtual_glove.npz
ح,0037,5,karsl_core28_s01_sign0037_train_rep026,01,train,rep026,20,1.0,1.0,1.0,1.0,1.0,True,pose/raw/karsl_core28_s01_sign0037_train_rep026/wilor_raw.npz,tracking/karsl_core28_s01_sign0037_train_rep026/wilor_tracked.npz,kinematics/karsl_core28_s01_sign0037_train_rep026/hand_kinematics.npz,virtual_glove/karsl_core28_s01_sign0037_train_rep026/virtual_glove.npz
خ,0038,6,karsl_core28_s03_sign0038_train_rep042,03,train,rep042,22,0.9837752525252526,1.0,0.9659090909090909,1.0,1.0,True,pose/raw/karsl_core28_s03_sign0038_train_rep042/wilor_raw.npz,tracking/karsl_core28_s03_sign0038_train_rep042/wilor_tracked.npz,kinematics/karsl_core28_s03_sign0038_train_rep042/hand_kinematics.npz,virtual_glove/karsl_core28_s03_sign0038_train_rep042/virtual_glove.npz
د,0039,7,karsl_core28_s03_sign0039_test_rep001,03,test,rep001,21,0.9569444444444445,1.0,0.75,1.0,1.0,True,pose/raw/karsl_core28_s03_sign0039_test_rep001/wilor_raw.npz,tracking/karsl_core28_s03_sign0039_test_rep001/wilor_tracked.npz,kinematics/karsl_core28_s03_sign0039_test_rep001/hand_kinematics.npz,virtual_glove/karsl_core28_s03_sign0039_test_rep001/virtual_glove.npz
ذ,0040,8,karsl_core28_s03_sign0040_train_rep004,03,train,rep004,19,0.9990131578947369,1.0,0.993421052631579,1.0,1.0,True,pose/raw/karsl_core28_s03_sign0040_train_rep004/wilor_raw.npz,tracking/karsl_core28_s03_sign0040_train_rep004/wilor_tracked.npz,kinematics/karsl_core28_s03_sign0040_train_rep004/hand_kinematics.npz,virtual_glove/karsl_core28_s03_sign0040_train_rep004/virtual_glove.npz
ر,0041,9,karsl_core28_s01_sign0041_test_rep006,01,test,rep006,19,0.9625,1.0,0.75,1.0,1.0,True,pose/raw/karsl_core28_s01_sign0041_test_rep006/wilor_raw.npz,tracking/karsl_core28_s01_sign0041_test_rep006/wilor_tracked.npz,kinematics/karsl_core28_s01_sign0041_test_rep006/hand_kinematics.npz,virtual_glove/karsl_core28_s01_sign0041_test_rep006/virtual_glove.npz
